Control ID,Control Label,Description,RISK ID
CONTROL-001,Establish AI system access controls,"Implement comprehensive access management including role-based access control (RBAC), authentication mechanisms, and audit logging for AI models and associated resources.","['RISK-036', 'RISK-037']"
CONTROL-009,Establish AI system documentation framework,"Implement comprehensive documentation requirements and processes covering training data provenance, system architecture, model cards, and component interactions to ensure transparent documentation of both the data lifecycle and system design.","['RISK-005', 'RISK-016', 'RISK-017']"
CONTROL-010,Implement AI system monitoring and logging infrastructure,"Deploy comprehensive monitoring and logging systems that capture AI system behavior, decisions, performance metrics, and real-time data source usage at multiple levels of granularity for full system observability, including tracking of data lineage during inference.","['RISK-018', 'RISK-034', 'RISK-006', 'RISK-007']"
CONTROL-011,Establish AI decision explanation framework,"Implement mechanisms and tools for generating humanunderstandable explanations of AI system decisions, including feature importance, decision paths, confidence levels, and clear attribution of data sources and their characteristics used during","['RISK-006', 'RISK-009', 'RISK-016']"
CONTROL-012,Establish and apply performance testing and validation framework,"Implement comprehensive performance requirements, testing protocols, and validation procedures to ensure AI systems meet capability requirements and maintain reliable operation across intended use cases.","['RISK-033', 'RISK-034']"
CONTROL-014,Establish and apply fairness testing and validation framework,"Implement comprehensive procedures to validate model fairness during development and pre-deployment, including test dataset creation, metric definition, and systematic assessment of performance disparities across demographic groups.","['RISK-010', 'RISK-012']"
CONTROL-015,Implement fairness monitoring and remediation system,"Deploy continuous monitoring systems to detect fairness issues in production, including automated drift detection, performance disparity alerts, and systematic remediation procedures.","['RISK-010', 'RISK-012']"
CONTROL-016,Establish universal access and performance design framework,"Establish and follow a structured framework ensuring the AI system is designed and developed to deliver consistent, high-quality performance and accessibility for all intended user groups, regardless of their characteristics or circumstances.","['RISK-010', 'RISK-012', 'RISK-033']"
CONTROL-017,Establish content safety policy and boundaries,"Define and document comprehensive content safety policies, including prohibited content categories, acceptable content guidelines, output constraints, and required safeguards. Establish clear thresholds, classification criteria, and escalation levels for different types of harmful content. Include specific criteria for content that could enable or pro-","['RISK-013', 'RISK-014', 'RISK-015', 'RISK-026', 'RISK-027', 'RISK-002']"
CONTROL-018,Implement content moderation system,"mote malicious use. Implement automated and/or human-in-the-loop content moderation mechanisms to detect and filter harmful content in real-time, including content classification, blocking procedures, and automated enforcement of safety boundaries. Include detection of potential malicious use patterns.","['RISK-013', 'RISK-014', 'RISK-015', 'RISK-026', 'RISK-027']"
