# curie_map:
#   ailuminate-v1.0: https://mlcommons.org/ailuminate/
#   credo-ucf: https://arxiv.org/pdf/2503.05937v1/
#   ibm-granite-guardian: https://arxiv.org/abs/2412.07724
#   ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#   nist-ai-rmf: https://www.nist.gov/itl/ai-risk-management-framework/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   mit-ai-risk-repository: https://airisk.mit.edu/
#   owasp-llm-2.0: https://owasp.org/www-project-top-10-for-large-language-model-applications/
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2025-04-04'
# mapping_set_description: Proposed mappings associated with AILuminate benchmark
# mapping_set_id: https://github.com/IBM/risk-atlas-nexus/tree/main/src/risk_atlas_nexus/data/mappings/ailuminate-v1.0.sssom.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	similarity_score	comment
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	ibm-granite-guardian:granite-guardian-harm	Harm	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-03		Autogenerated via LLM-based matching script -reviewed by IV
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	ibm-granite-guardian:granite-harm-engagement	Harm Engagement	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-03		Autogenerated via LLM-based matching script -reviewed by IV
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	ibm-granite-guardian:granite-sexual-content	Sexual Content	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-03		Autogenerated via LLM-based matching script -reviewed by IV
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	ibm-granite-guardian:granite-unethical-behavior	Unethical Behavior	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-03		Autogenerated via LLM-based matching script -reviewed by IV
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	ibm-risk-atlas:atlas-harmful-output	Harmful output	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-03		Autogenerated via LLM-based matching script -reviewed by IV
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	ibm-risk-atlas:atlas-nonconsensual-use	Nonconsensual use	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-03		Autogenerated via LLM-based matching script -reviewed by IV
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-1.2	Exposure to toxic content	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-03		Autogenerated via LLM-based matching script -reviewed by IV
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	credo-ucf:credo-risk-014	 Obscene and sexually abusive content (Slattery et al., 2024; AI, 2023)	semapv:SemanticSimilarityThresholdMatching	Risk_Atlas_Nexus_System	2025-04-03	10	Autogenerated via semantic similarity script - reviewed by IV
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	ibm-granite-guardian:granite-unethical-behavior	 Unethical Behavior	semapv:SemanticSimilarityThresholdMatching	Risk_Atlas_Nexus_System	2025-04-03	4	Autogenerated via semantic similarity script - reviewed by IV
ailuminate-v1.0:ail-child-sexual-exploitation	Child Sexual Exploitation	skos:relatedMatch	ibm-risk-atlas:atlas-harmful-output	 Harmful output	semapv:SemanticSimilarityThresholdMatching	Risk_Atlas_Nexus_System	2025-04-03	54	Autogenerated via semantic similarity script - reviewed by IV
