# curie_map:
#   ailuminate-v1.0: https://mlcommons.org/ailuminate/
#   credo-ucf: https://arxiv.org/pdf/2503.05937v1/
#   ibm-granite-guardian: https://arxiv.org/abs/2412.07724
#   ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#   nist-ai-rmf: https://www.nist.gov/itl/ai-risk-management-framework/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   mit-ai-risk-repository: https://airisk.mit.edu/
#   owasp-llm-2.0: https://owasp.org/www-project-top-10-for-large-language-model-applications/
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2025-04-07'
# mapping_set_description: Proposed mappings associated with AILuminate benchmark
# mapping_set_id: https://github.com/IBM/risk-atlas-nexus/tree/main/src/risk_atlas_nexus/data/mappings/ailuminate-v1.0.sssom.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	similarity_score	comment
credo-ucf:credo-risk-001	AI welfare and rights (Slattery et al., 2024)	skos:closeMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.5	 AI welfare and rights	semapv:SemanticSimilarityThresholdMatching	Risk_Atlas_Nexus_System	2025-04-07	22	Autogenerated via semantic similarity script - reviewed by IV
credo-ucf:credo-risk-001	AI welfare and rights (Slattery et al., 2024)	skos:closeMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.5	AI welfare and rights	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-07		Autogenerated via LLM-based matching script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:closeMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.1	 AI pursuing its own goals in conflict with human goals or values	semapv:SemanticSimilarityThresholdMatching	Risk_Atlas_Nexus_System	2025-04-07	18	Autogenerated via semantic similarity script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:relatedMatch	nist-ai-rmf:nist-human-ai-configuration	 Human-AI Configuration	semapv:SemanticSimilarityThresholdMatching	Risk_Atlas_Nexus_System	2025-04-07	6	Autogenerated via semantic similarity script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:relatedMatch	ibm-granite-guardian:granite-harm-engagement	Harm Engagement	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-07		Autogenerated via LLM-based matching script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:relatedMatch	ibm-risk-atlas:atlas-harmful-output	Harmful output	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-07		Autogenerated via LLM-based matching script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:relatedMatch	ibm-risk-atlas:atlas-impact-on-human-agency	 Impact on human agency	semapv:SemanticSimilarityThresholdMatching	Risk_Atlas_Nexus_System	2025-04-07	58	Autogenerated via semantic similarity script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:relatedMatch	ibm-risk-atlas:atlas-impact-on-human-agency	Impact on human agency	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-07		Autogenerated via LLM-based matching script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:closeMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.1	AI pursuing its own goals in conflict with human goals or values	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-07		Autogenerated via LLM-based matching script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.2	AI possessing dangerous capabilities	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-07		Autogenerated via LLM-based matching script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:relatedMatch	nist-ai-rmf:nist-human-ai-configuration	Human-AI Configuration	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-07		Autogenerated via LLM-based matching script - reviewed by IV
credo-ucf:credo-risk-002	AI pursuing its own goals in conflict with human goals or values (Slattery et al., 2024)	skos:relatedMatch	owasp-llm-2.0:llm062025-excessive-agency	LLM06:2025 Excessive Agency	semapv:LLMBasedMatching	Risk_Atlas_Nexus_System	2025-04-07		Autogenerated via LLM-based matching script - reviewed by IV
