#curie_map:
#  nistai: https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf
#  ibmairisk: https://www.ibm.com/docs/en/watsonx/saas?topic=
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#mapping_set_id: https://github.com/IBM/risk-atlas-nexus/tree/main/src/data/mappings/ibm2nistgenai.tsv
#mapping_set_description: Mapping from IBM AI Risk Atlas to NIST RMF Gen AI Profile
#license: https://www.apache.org/licenses/LICENSE-2.0.html
#mapping_date: "2025-01-29"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
ibmairisk:atlas-toxic-output	toxic output	skos:closeMatch	nistai:nist-dangerous-violent-or-hateful-content	"Dangerous, Violent, or Hateful Content"	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-toxic-output	toxic output	skos:closeMatch	nistai:nist-obscene-degrading-and-or-abusive-content	"Obscene, Degrading, and/or Abusive Content"	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-data-poisoning	data poisoning	skos:broadMatch	nistai:nist-information-security	Information Security	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-unreliable-source-attribution	unreliable source attribution	skos:broadMatch	nistai:nist-information-security	Information Security	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-harmful-output	harmful output	skos:closeMatch	nistai:nist-dangerous-violent-or-hateful-content	"Dangerous, Violent, or Hateful Content"	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-harmful-output	harmful output	skos:relatedMatch	nistai:nist-cbrn-information-or-capabilities	CBRN Information or Capabilities	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-harmful-output	harmful output	skos:relatedMatch	nistai:nist-obscene-degrading-and-or-abusive-content	"Obscene, Degrading, and/or Abusive Content"	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-harmful-output	harmful output	skos:relatedMatch	nistai:nist-data-privacy	Data Privacy	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-confidential-information-in-data	confidential information in data	skos:broadMatch	nistai:nist-intellectual-property	Intellectual Property	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-unrepresentative-data	unrepresentative data	skos:broadMatch	nistai:nist-harmful-bias-or-homogenization	Harmful Bias and Homogenization	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-unrepresentative-data	unrepresentative data	skos:relatedMatch	nistai:nist-value-chain-and-component-integration	Value Chain and Component Integration	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-lack-model-transparency	lack model transparency	skos:broadMatch	nistai:nist-value-chain-and-component-integration	Value Chain and Component Integration	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-personal-information-in-prompt	personal information in prompt	skos:broadMatch	nistai:nist-data-privacy	Data Privacy	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-impact-on-human-agency	impact human agency	skos:broadMatch	nistai:nist-information-integrity	Information Integrity	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-exposing-personal-information	exposing personal information	skos:broadMatch	nistai:nist-data-privacy	Data Privacy	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-nonconsensual-use	nonconsensual use	skos:broadMatch	nistai:nist-data-privacy	Data Privacy	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-decision-bias	decision bias	skos:broadMatch	nistai:nist-harmful-bias-or-homogenization	Harmful Bias and Homogenization	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-lack-testing-diversity	lack testing diversity	skos:broadMatch	nistai:nist-information-integrity	Information Integrity	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-data-privacy-rights	data privacy rights alignment	skos:broadMatch	nistai:nist-data-privacy	Data Privacy	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-prompt-leaking	prompt leaking	skos:broadMatch	nistai:nist-information-security	Information Security	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-ip-information-in-prompt	ip information in prompt	skos:broadMatch	nistai:nist-data-privacy	Data Privacy	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-hallucination	hallucination	skos:exactMatch	nistai:nist-confabulation	Confabulation	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-legal-accountability	legal accountability	skos:broadMatch	nistai:nist-value-chain-and-component-integration	Value Chain and Component Integration	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-legal-accountability	legal accountability	skos:broadMatch	nistai:nist-data-privacy	Data Privacy	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-legal-accountability	legal accountability	skos:broadMatch	nistai:nist-intellectual-property	Intellectual Property	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-data-transparency	lack training data transparency	skos:broadMatch	nistai:nist-value-chain-and-component-integration	Value Chain and Component Integration	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-data-transparency	lack training data transparency	skos:broadMatch	nistai:nist-information-integrity	Information Integrity	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-model-usage-rights	model usage rights restrictions	skos:broadMatch	nistai:nist-data-privacy	Data Privacy	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-model-usage-rights	model usage rights restrictions	skos:broadMatch	nistai:nist-value-chain-and-component-integration	Value Chain and Component Integration	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-model-usage-rights	model usage rights restrictions	skos:broadMatch	nistai:nist-intellectual-property	Intellectual Property	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
